date,jet_fuel_dpg
4/1/1990,0.54
5/1/1990,0.515
6/1/1990,0.494
7/1/1990,0.535
8/1/1990,0.791
9/1/1990,1.012
10/1/1990,1.196
11/1/1990,0.971
12/1/1990,0.803
1/1/1991,0.741
2/1/1991,0.637
3/1/1991,0.558
4/1/1991,0.552
5/1/1991,0.569
6/1/1991,0.547
7/1/1991,0.586
8/1/1991,0.623
9/1/1991,0.635
10/1/1991,0.671
11/1/1991,0.645
12/1/1991,0.522
1/1/1992,0.509
2/1/1992,0.543
3/1/1992,0.514
4/1/1992,0.543
5/1/1992,0.579
6/1/1992,0.615
7/1/1992,0.611
8/1/1992,0.59
9/1/1992,0.623
10/1/1992,0.621
11/1/1992,0.561
12/1/1992,0.544
1/1/1993,0.534
2/1/1993,0.553
3/1/1993,0.558
4/1/1993,0.551
5/1/1993,0.553
6/1/1993,0.526
7/1/1993,0.494
8/1/1993,0.501
9/1/1993,0.535
10/1/1993,0.568
11/1/1993,0.533
12/1/1993,0.446
1/1/1994,0.528
2/1/1994,0.501
3/1/1994,0.451
4/1/1994,0.469
5/1/1994,0.472
6/1/1994,0.493
7/1/1994,0.509
8/1/1994,0.498
9/1/1994,0.49
10/1/1994,0.509
11/1/1994,0.513
12/1/1994,0.487
1/1/1995,0.472
2/1/1995,0.467
3/1/1995,0.449
4/1/1995,0.5
5/1/1995,0.511
6/1/1995,0.478
7/1/1995,0.467
8/1/1995,0.496
9/1/1995,0.513
10/1/1995,0.502
11/1/1995,0.524
12/1/1995,0.553
1/1/1996,0.55
2/1/1996,0.557
3/1/1996,0.586
4/1/1996,0.617
5/1/1996,0.557
6/1/1996,0.516
7/1/1996,0.556
8/1/1996,0.615
9/1/1996,0.682
10/1/1996,0.703
11/1/1996,0.696
12/1/1996,0.693
1/1/1997,0.68
2/1/1997,0.619
3/1/1997,0.557
4/1/1997,0.541
5/1/1997,0.549
6/1/1997,0.523
7/1/1997,0.536
8/1/1997,0.559
9/1/1997,0.541
10/1/1997,0.571
11/1/1997,0.549
12/1/1997,0.496
1/1/1998,0.476
2/1/1998,0.449
3/1/1998,0.413
4/1/1998,0.426
5/1/1998,0.416
6/1/1998,0.389
7/1/1998,0.386
8/1/1998,0.372
9/1/1998,0.42
10/1/1998,0.42
11/1/1998,0.371
12/1/1998,0.304
1/1/1999,0.334
2/1/1999,0.309
3/1/1999,0.378
4/1/1999,0.43
5/1/1999,0.415
6/1/1999,0.44
7/1/1999,0.512
8/1/1999,0.564
9/1/1999,0.614
10/1/1999,0.595
11/1/1999,0.661
12/1/1999,0.701
1/1/2000,0.781
2/1/2000,0.78
3/1/2000,0.771
4/1/2000,0.719
5/1/2000,0.762
6/1/2000,0.785
7/1/2000,0.796
8/1/2000,0.9
9/1/2000,1.017
10/1/2000,0.982
11/1/2000,1.028
12/1/2000,0.863
1/1/2001,0.87
2/1/2001,0.815
3/1/2001,0.748
4/1/2001,0.77
5/1/2001,0.821
6/1/2001,0.767
7/1/2001,0.711
8/1/2001,0.764
9/1/2001,0.738
10/1/2001,0.622
11/1/2001,0.543
12/1/2001,0.515
1/1/2002,0.533
2/1/2002,0.551
3/1/2002,0.63
4/1/2002,0.669
5/1/2002,0.666
6/1/2002,0.653
7/1/2002,0.691
8/1/2002,0.722
9/1/2002,0.8
10/1/2002,0.79
11/1/2002,0.708
12/1/2002,0.811
1/1/2003,0.887
2/1/2003,1.055
3/1/2003,0.893
4/1/2003,0.743
5/1/2003,0.714
6/1/2003,0.748
7/1/2003,0.78
8/1/2003,0.823
9/1/2003,0.738
10/1/2003,0.82
11/1/2003,0.831
12/1/2003,0.876
1/1/2004,0.998
2/1/2004,0.933
3/1/2004,0.947
4/1/2004,0.973
5/1/2004,1.092
6/1/2004,1.032
7/1/2004,1.145
8/1/2004,1.227
9/1/2004,1.362
10/1/2004,1.52
11/1/2004,1.347
12/1/2004,1.223
1/1/2005,1.334
2/1/2005,1.334
3/1/2005,1.562
4/1/2005,1.573
5/1/2005,1.471
6/1/2005,1.654
7/1/2005,1.665
8/1/2005,1.874
9/1/2005,2.232
10/1/2005,2.398
11/1/2005,1.698
12/1/2005,1.727
1/1/2006,1.816
2/1/2006,1.754
3/1/2006,1.875
4/1/2006,2.074
5/1/2006,2.07
6/1/2006,2.081
7/1/2006,2.154
8/1/2006,2.133
9/1/2006,1.81
10/1/2006,1.739
11/1/2006,1.733
12/1/2006,1.81
1/1/2007,1.654
2/1/2007,1.74
3/1/2007,1.846
4/1/2007,2.036
5/1/2007,2.044
6/1/2007,2.099
7/1/2007,2.137
8/1/2007,2.092
9/1/2007,2.265
