Month,ndfpp,wtisplc
Jul-77,8.41,13.9
Aug-77,8.79,14.85
Sep-77,9.34,14.85
Oct-77,8.83,14.85
Nov-77,9.64,14.85
Dec-77,9.26,14.85
Jan-78,9.16,14.85
Feb-78,9.09,14.85
Mar-78,9.38,14.85
Apr-78,9.59,14.85
May-78,9.44,14.85
Jun-78,9.54,14.85
Jul-78,9.67,14.85
Aug-78,10,14.85
Sep-78,9.98,14.85
Oct-78,10.2,14.85
Nov-78,10.25,14.85
Dec-78,10.32,14.85
Jan-79,10.56,14.85
Feb-79,10.7,15.85
Mar-79,10.78,15.85
Apr-79,10.93,15.85
May-79,11.3,18.1
Jun-79,12.41,19.1
Jul-79,13.18,21.75
Aug-79,14.51,26.5
Sep-79,15.33,28.5
Oct-79,15.95,29
Nov-79,16.76,31
Dec-79,18.01,32.5
Jan-80,20.78,32.5
Feb-80,21.94,37
Mar-80,23.94,38
Apr-80,23.66,39.5
May-80,26.48,39.5
Jun-80,28.37,39.5
Jul-80,26.97,39.5
Aug-80,30.35,38
Sep-80,27.1,36
Oct-80,28.11,36
Nov-80,28.6,36
Dec-80,30.92,37
Jan-81,33.39,38
Feb-81,37.79,38
Mar-81,41.77,38
Apr-81,37.36,38
May-81,36.35,38
Jun-81,35.17,36
Jul-81,32.62,36
Aug-81,34.25,36
Sep-81,34.58,36
Oct-81,34.62,35
Nov-81,35.12,36
Dec-81,34.5,35
Jan-82,34.59,33.85
Feb-82,33.62,31.56
Mar-82,32.01,28.48
Apr-82,31.02,33.45
May-82,31.61,35.93
Jun-82,31.13,35.07
Jul-82,30.77,34.16
Aug-82,31.17,33.95
Sep-82,31.38,35.63
Oct-82,32.29,35.68
Nov-82,32.38,34.15
Dec-82,31.42,31.72
Jan-83,31.56,31.19
Feb-83,29.53,28.95
Mar-83,29.36,28.82
Apr-83,28.87,30.61
May-83,28.59,30
Jun-83,28.81,31
Jul-83,28.93,31.66
Aug-83,29.04,31.91
Sep-83,29.03,31.11
Oct-83,29.08,30.41
Nov-83,29.56,29.84
Dec-83,28.82,29.24
Jan-84,28.94,29.69
Feb-84,28.97,30.145
Mar-84,28.75,30.761
Apr-84,28.73,30.618
May-84,28.72,30.52
Jun-84,28.78,29.967
Jul-84,28.7,28.752
Aug-84,28.58,29.25
Sep-84,28.35,29.311
Oct-84,28.52,28.765
Nov-84,26.98,28.098
Dec-84,26.56,25.429
Jan-85,25.34,25.641
Feb-85,24.54,27.271
Mar-85,25.11,28.238
Apr-85,25.24,28.805
May-85,25.62,27.623
Jun-85,25.07,27.143
Jul-85,25.09,27.329
Aug-85,25.1,27.755
Sep-85,25.21,28.289
Oct-85,25.37,29.538
Nov-85,25.89,30.813
Dec-85,26.18,27.228
Jan-86,24.51,22.945
Feb-86,17.8,15.442
Mar-86,11.84,12.618
Apr-86,10.81,12.847
May-86,11.56,15.444
Jun-86,12.22,13.469
Jul-86,10.46,11.575
Aug-86,11.72,15.092
Sep-86,12.79,14.913
Oct-86,12.54,14.852
Nov-86,12.55,15.207
Dec-86,13.09,16.076
Jan-87,15.41,18.656
Feb-87,15.89,17.726
Mar-87,15.8,18.305
Apr-87,16.02,18.643
May-87,16.66,19.415
Jun-87,17.24,20.034
Jul-87,18.17,21.355
Aug-87,18.29,20.274
Sep-87,17.42,19.526
Oct-87,17.37,19.848
Nov-87,16.96,18.92
Dec-87,15.91,17.241
Jan-88,15.19,17.16
Feb-88,14.96,16.765
Mar-88,14.08,16.217
Apr-88,15.32,17.875
May-88,15.5,17.438
Jun-88,14.83,16.53
Jul-88,13.43,15.498
Aug-88,13.32,15.524
Sep-88,12.79,14.467
Oct-88,11.84,13.798
Nov-88,11.55,13.977
Dec-88,13.31,16.266
Jan-89,15.31,17.983
Feb-89,15.44,17.826
Mar-89,16.87,19.445
Apr-89,18.2,21.04
May-89,17.76,20.032
Jun-89,17.58,20.005
Jul-89,17.57,19.644
Aug-89,16.04,18.522
Sep-89,16.95,19.594
Oct-89,17.74,20.091
Nov-89,17.51,19.82
Dec-89,18.46,21.088
Jan-90,19.87,22.641
Feb-90,19.65,22.108
Mar-90,18.16,20.418
Apr-90,16.16,18.582
May-90,15.92,18.237
Jun-90,14.65,16.871
Jul-90,16.05,18.638
Aug-90,24.36,27.174
Sep-90,30.41,33.687
Oct-90,33.38,35.922
Nov-90,30.07,32.3
Dec-90,24.34,27.337
Jan-91,22.08,24.959
Feb-91,18.12,20.523
Mar-91,17.36,19.86
Apr-91,18.14,20.823
May-91,18.5,21.24
Jun-91,17.56,20.195
Jul-91,18.72,21.42
Aug-91,18.96,21.688
Sep-91,19.06,21.857
Oct-91,20.38,23.228
Nov-91,19.74,22.465
Dec-91,16.84,19.517
Jan-92,16.26,18.82
Feb-92,16.43,18.995
Mar-92,16.32,18.916
Apr-92,17.72,20.243
May-92,18.39,20.94
Jun-92,19.86,22.375
Jul-92,19.21,21.759
Aug-92,18.85,21.35
Sep-92,19.4,21.902
Oct-92,19.21,21.688
Nov-92,17.92,20.342
Dec-92,16.93,19.407
Jan-93,16.56,19.075
Feb-93,17.39,20.053
Mar-93,17.68,20.347
Apr-93,17.55,20.27
May-93,16.99,19.94
Jun-93,15.85,19.07
Jul-93,14.59,17.866
Aug-93,14.63,18.009
Sep-93,14.06,17.514
Oct-93,14.23,18.145
Nov-93,12.59,16.699
Dec-93,10.39,14.51
Jan-94,11.73,15
Feb-94,11.5,14.78
Mar-94,11.36,14.66
Apr-94,12.98,16.38
May-94,15.05,17.88
Jun-94,16.16,19.07
Jul-94,16.69,19.65
Aug-94,15.23,18.38
Sep-94,14.32,17.46
Oct-94,14.65,17.71
Nov-94,14.97,18.1
Dec-94,14.03,17.16
Jan-95,15.04,17.99
Feb-95,15.74,18.53
Mar-95,15.58,18.55
Apr-95,17.01,19.87
May-95,16.77,19.74
Jun-95,15.56,18.42
Jul-95,14.43,17.3
Aug-95,15.1,18.03
Sep-95,15.41,18.23
Oct-95,14.66,17.44
Nov-95,15.16,17.99
Dec-95,16.43,19.04
Jan-96,16.23,18.88
Feb-96,16.13,19.07
Mar-96,18.5,21.36
Apr-96,20.46,23.57
May-96,18.5,21.25
Jun-96,17.82,20.45
Jul-96,18.68,21.32
Aug-96,19.37,21.96
Sep-96,21.28,23.99
Oct-96,22.38,24.9
Nov-96,20.99,23.71
Dec-96,22.32,25.39
Jan-97,22.29,25.17
Feb-97,19.49,22.21
Mar-97,18.15,20.99
Apr-97,17.18,19.72
May-97,18.13,20.83
Jun-97,16.3,19.17
Jul-97,16.6,19.63
Aug-97,16.79,19.93
Sep-97,16.71,19.79
Oct-97,18.3,21.26
Nov-97,17.16,20.17
Dec-97,15.34,18.32
Jan-98,13.69,16.71
Feb-98,13.05,16.06
Mar-98,11.92,15.02
Apr-98,12.33,15.44
May-98,11.68,14.86
Jun-98,10.29,13.66
Jul-98,10.91,14.08
